,New model added on 08/08/2025,,,,,,RV Change 03/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RV update,,,,,"20,000 KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX-Code,Models name,Road Tax Jur,Raod Tax Ind.,MSRP,CC Engine,Models,12,24,36,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25435662-TH1,GLC 350 e 4MATIC Coupe AMG Dynamic-TH1,6192,2896," 4,340,000.00 ",1999,GLC 350 e 4MATIC Coupe AMG Dynamic-TH1,71%,60%,54%,47%,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16710962-TH1,GLE 300 d 4MATIC AMG Dynamic -TH1,6144,2872," 5,590,000.01 ",1999,GLE 300 d 4MATIC AMG Dynamic -TH1,68%,57%,52%,46%,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16711962-TH2,GLE 300 d 4MATIC AMG Dynamic -TH2,5800,2700," 5,430,000.01 ",1999,GLE 300 d 4MATIC AMG Dynamic -TH2,68%,57%,52%,46%,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16710962-THA,GLE 300 d 4MATIC AMG Line-THA,6144,2872," 4,980,000.00 ",1993,GLE 300 d 4MATIC AMG Line-THA,63%,53%,48%,41%,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16711762-TH1,GLE 350 de 4MATIC Exclusive -TH1,5800,2700," 4,860,000.01 ",1950,GLE 350 de 4MATIC Exclusive -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16792162-TH1,GLS 350 d 4MATIC AMG Premium -TH1,13600,6600," 6,880,000.01 ",1950,GLS 350 d 4MATIC AMG Premium -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16793362-TH1,GLS 450 d 4MATIC AMG Dynamic-TH1,14112,6856," 6,980,000.00 ",2989,GLS 450 d 4MATIC AMG Dynamic-TH1,69%,58%,52%,45%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23636262-THA,Mercedes-AMG CLE 53 4MATIC+ Coupe - THA,14192,6896," 5,250,000.00 ",2999,Mercedes-AMG CLE 53 4MATIC+ Coupe - THA,75%,64%,58%,51%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25736162-TH2,Mercedes-AMG CLS 53 4MATIC+ -TH2,14192,6896," 5,880,000.00 ",2999,Mercedes-AMG CLS 53 4MATIC+ -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25736162-TH2,Mercedes-AMG CLS 53 4MATIC+ Final EDITION - TH2,14192,6896," 5,880,000.00 ",2999,Mercedes-AMG CLS 53 4MATIC+ Final EDITION - TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29515322-TH1,Mercedes-AMG EQE 53 4MATIC+ -TH1,5800,2700," 5,950,000.01 ",2540,Mercedes-AMG EQE 53 4MATIC+ -TH1,57%,47%,41%,35%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
