Entity,Order,AssetValuationCurve,Borrower Type,CustomerType,Value
THA-FS,1,,,,0.002
THA-FS,1,MBPC,,,0.164817761998417
THA-FS,2,MBVA,,,0.164817761998417
THA-FS,3,MBBU,,,0.260055891467849
THA-FS,4,FUCV,,,0.260055891467849
THA-FS,5,MBCV,,,0.260055891467849
THA-FS,6,OOCV,,,0.260055891467849
THA-FS,7,OOPC,,,0.164817761998417
