Entity,Order,CustomerType,Financial Product Type Short Name,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,MBM Rating,Tier,PD,PD_MoC
THA-FS,69,DEALER,,,,,,,,Y,,7.8,,0.02646,0.02646
THA-FS,70,DEALER,,,,,,,,Y,,7.9,,0.02708,0.02708
THA-FS,71,DEALER,,,,,,,,Y,,"8, 8.0",,0.0277,0.0277
THA-FS,72,DEALER,,,,,,,,Y,,8.1,,0.02914,0.02914
THA-FS,73,DEALER,,,,,,,,Y,,8.2,,0.03058,0.03058
THA-FS,74,DEALER,,,,,,,,Y,,8.3,,0.03202,0.03202
THA-FS,75,DEALER,,,,,,,,Y,,8.4,,0.03346,0.03346
THA-FS,76,DEALER,,,,,,,,Y,,8.5,,0.0349,0.0349
THA-FS,77,DEALER,,,,,,,,Y,,8.6,,0.03634,0.03634
THA-FS,78,DEALER,,,,,,,,Y,,8.7,,0.03778,0.03778
THA-FS,79,DEALER,,,,,,,,Y,,8.8,,0.03922,0.03922
THA-FS,80,DEALER,,,,,,,,Y,,8.9,,0.04066,0.04066
THA-FS,81,DEALER,,,,,,,,Y,,"9, 9.0",,0.0421,0.0421
THA-FS,82,DEALER,,,,,,,,Y,,9.1,,0.04807,0.04807
THA-FS,83,DEALER,,,,,,,,Y,,9.2,,0.05404,0.05404
THA-FS,84,DEALER,,,,,,,,Y,,9.3,,0.06001,0.06001
THA-FS,85,DEALER,,,,,,,,Y,,9.4,,0.06598,0.06598
THA-FS,86,DEALER,,,,,,,,Y,,9.5,,0.07195,0.07195
THA-FS,87,DEALER,,,,,,,,Y,,9.6,,0.07792,0.07792
THA-FS,88,DEALER,,,,,,,,Y,,9.7,,0.08389,0.08389
THA-FS,89,DEALER,,,,,,,,Y,,9.8,,0.08986,0.08986
THA-FS,90,DEALER,,,,,,,,Y,,9.9,,0.09583,0.09583
THA-FS,91,DEALER,,,,,,,,Y,,"10, 10.0",,0.1018,0.1018
THA-FS,92,DEALER,,,,,,,,Y,,"11, 11.0",,0.25,0.25
THA-FS,93,FLEET,,,,,,,,Y,,"1, 1.0",,0.0054622697226391,0.0055736791878076
THA-FS,94,FLEET,,,,,,,,Y,,1.1,,0.0056839401296765,0.0057998352060443
THA-FS,95,FLEET,,,,,,,,Y,,1.2,,0.0059056105367139,0.0060259912242809
THA-FS,96,FLEET,,,,,,,,Y,,1.3,,0.0061272809437513,0.0062521472425176
THA-FS,97,FLEET,,,,,,,,Y,,1.4,,0.0063489513507887,0.0064783032607542
THA-FS,98,FLEET,,,,,,,,Y,,1.5,,0.0065706217578261,0.0067044592789909
THA-FS,99,FLEET,,,,,,,,Y,,1.6,,0.0067922921648635,0.0069306152972275
THA-FS,100,FLEET,,,,,,,,Y,,1.7,,0.0070139625719009,0.0071567713154642
THA-FS,101,FLEET,,,,,,,,Y,,1.8,,0.0072356329789383,0.0073829273337008
THA-FS,102,FLEET,,,,,,,,Y,,1.9,,0.0074573033859757,0.0076090833519375
THA-FS,103,FLEET,,,,,,,,Y,,"2, 2.0",,0.007678973793013,0.0078352393701741
THA-FS,104,FLEET,,,,,,,,Y,,2.1,,0.0079603780813683,0.008122308397227
THA-FS,105,FLEET,,,,,,,,Y,,2.2,,0.0082417823697236,0.0084093774242798
THA-FS,106,FLEET,,,,,,,,Y,,2.3,,0.0085231866580789,0.0086964464513327
THA-FS,107,FLEET,,,,,,,,Y,,2.4,,0.0088045909464341,0.0089835154783855
THA-FS,108,FLEET,,,,,,,,Y,,2.5,,0.0090859952347894,0.0092705845054384
THA-FS,109,FLEET,,,,,,,,Y,,2.6,,0.0093673995231447,0.0095576535324912
THA-FS,110,FLEET,,,,,,,,Y,,2.7,,0.0096488038115,0.0098447225595441
THA-FS,111,FLEET,,,,,,,,Y,,2.8,,0.0099302080998553,0.0101317915865969
THA-FS,112,FLEET,,,,,,,,Y,,2.9,,0.0102116123882105,0.0104188606136498
THA-FS,113,FLEET,,,,,,,,Y,,"3, 3.0",,0.0104930166765658,0.0107059296407026
THA-FS,114,FLEET,,,,,,,,Y,,3.1,,0.0108736354599632,0.011094157668436
THA-FS,115,FLEET,,,,,,,,Y,,3.2,,0.0112542542433605,0.0114823856961694
THA-FS,116,FLEET,,,,,,,,Y,,3.3,,0.0116348730267579,0.0118706137239029
THA-FS,117,FLEET,,,,,,,,Y,,3.4,,0.0120154918101553,0.0122588417516363
THA-FS,118,FLEET,,,,,,,,Y,,3.5,,0.0123961105935527,0.0126470697793697
THA-FS,119,FLEET,,,,,,,,Y,,3.6,,0.01277672937695,0.0130352978071031
THA-FS,120,FLEET,,,,,,,,Y,,3.7,,0.0131573481603474,0.0134235258348365
THA-FS,121,FLEET,,,,,,,,Y,,3.8,,0.0135379669437448,0.01381175386257
THA-FS,122,FLEET,,,,,,,,Y,,3.9,,0.0139185857271421,0.0141999818903034
THA-FS,123,FLEET,,,,,,,,Y,,"4, 4.0",,0.0142992045105395,0.0145882099180368
THA-FS,124,FLEET,,,,,,,,Y,,4.1,,0.0148176640518091,0.0151169369056066
THA-FS,125,FLEET,,,,,,,,Y,,4.2,,0.0153361235930786,0.0156456638931765
THA-FS,126,FLEET,,,,,,,,Y,,4.3,,0.0158545831343482,0.0161743908807463
THA-FS,127,FLEET,,,,,,,,Y,,4.4,,0.0163730426756177,0.0167031178683162
THA-FS,128,FLEET,,,,,,,,Y,,4.5,,0.0168915022168873,0.017231844855886
THA-FS,129,FLEET,,,,,,,,Y,,4.6,,0.0174099617581569,0.0177605718434558
THA-FS,130,FLEET,,,,,,,,Y,,4.7,,0.0179284212994264,0.0182892988310257
THA-FS,131,FLEET,,,,,,,,Y,,4.8,,0.018446880840696,0.0188180258185955
THA-FS,132,FLEET,,,,,,,,Y,,4.9,,0.0189653403819655,0.0193467528061654
THA-FS,133,FLEET,,,,,,,,Y,,"5, 5.0",,0.0194837999232351,0.0198754797937352
THA-FS,134,FLEET,,,,,,,,Y,,5.1,,0.0201971503426083,0.0206027735336201
THA-FS,135,FLEET,,,,,,,,Y,,5.2,,0.0209105007619815,0.021330067273505
THA-FS,136,FLEET,,,,,,,,Y,,5.3,,0.0216238511813547,0.0220573610133899
THA-FS,137,FLEET,,,,,,,,Y,,5.4,,0.0223372016007279,0.0227846547532748
THA-FS,138,FLEET,,,,,,,,Y,,5.5,,0.0230505520201011,0.0235119484931598
THA-FS,139,FLEET,,,,,,,,Y,,5.6,,0.0237639024394743,0.0242392422330447
THA-FS,140,FLEET,,,,,,,,Y,,5.7,,0.0244772528588475,0.0249665359729296
THA-FS,141,FLEET,,,,,,,,Y,,5.8,,0.0251906032782207,0.0256938297128145
THA-FS,142,FLEET,,,,,,,,Y,,5.9,,0.0259039536975939,0.0264211234526994
THA-FS,143,FLEET,,,,,,,,Y,,"6, 6.0",,0.0266173041169671,0.0271484171925843
THA-FS,144,FLEET,,,,,,,,Y,,6.1,,0.0275994655790628,0.0281494282505223
THA-FS,145,FLEET,,,,,,,,Y,,6.2,,0.0285816270411585,0.0291504393084604
THA-FS,146,FLEET,,,,,,,,Y,,6.3,,0.0295637885032542,0.0301514503663984
THA-FS,147,FLEET,,,,,,,,Y,,6.4,,0.0305459499653499,0.0311524614243365
THA-FS,148,FLEET,,,,,,,,Y,,6.5,,0.0315281114274456,0.0321534724822745
THA-FS,149,FLEET,,,,,,,,Y,,6.6,,0.0325102728895412,0.0331544835402125
THA-FS,150,FLEET,,,,,,,,Y,,6.7,,0.0334924343516369,0.0341554945981506
THA-FS,151,FLEET,,,,,,,,Y,,6.8,,0.0344745958137326,0.0351565056560886
THA-FS,152,FLEET,,,,,,,,Y,,6.9,,0.0354567572758283,0.0361575167140267
THA-FS,153,FLEET,,,,,,,,Y,,"7, 7.0",,0.036438918737924,0.0371585277719647
THA-FS,154,FLEET,,,,,,,,Y,,7.1,,0.0377588526263626,0.038503159218468
THA-FS,155,FLEET,,,,,,,,Y,,7.2,,0.0390787865148012,0.0398477906649713
THA-FS,156,FLEET,,,,,,,,Y,,7.3,,0.0403987204032398,0.0411924221114745
THA-FS,157,FLEET,,,,,,,,Y,,7.4,,0.0417186542916785,0.0425370535579778
THA-FS,158,FLEET,,,,,,,,Y,,7.5,,0.0430385881801171,0.0438816850044811
THA-FS,159,FLEET,,,,,,,,Y,,7.6,,0.0443585220685557,0.0452263164509844
THA-FS,160,FLEET,,,,,,,,Y,,7.7,,0.0456784559569943,0.0465709478974877
THA-FS,161,FLEET,,,,,,,,Y,,7.8,,0.0469983898454329,0.047915579343991
THA-FS,162,FLEET,,,,,,,,Y,,7.9,,0.0483183237338715,0.0492602107904942
THA-FS,163,FLEET,,,,,,,,Y,,"8, 8.0",,0.0496382576223101,0.0506048422369975
THA-FS,164,FLEET,,,,,,,,Y,,8.1,,0.0514145857514951,0.0524132600177888
THA-FS,165,FLEET,,,,,,,,Y,,8.2,,0.0531909138806801,0.0542216777985802
THA-FS,166,FLEET,,,,,,,,Y,,8.3,,0.0549672420098652,0.0560300955793715
THA-FS,167,FLEET,,,,,,,,Y,,8.4,,0.0567435701390502,0.0578385133601629
THA-FS,168,FLEET,,,,,,,,Y,,8.5,,0.0585198982682352,0.0596469311409542
THA-FS,169,FLEET,,,,,,,,Y,,8.6,,0.0602962263974202,0.0614553489217455
THA-FS,170,FLEET,,,,,,,,Y,,8.7,,0.0620725545266052,0.06326376670253
THA-FS,171,FLEET,,,,,,,,Y,,8.8,,0.06384888265579,0.06507218448332
THA-FS,172,FLEET,,,,,,,,Y,,8.9,,0.06562521078497,0.06688060226411
THA-FS,173,FLEET,,,,,,,,Y,,"9, 9.0",,0.06740153891416,0.06868902004491
THA-FS,174,FLEET,,,,,,,,Y,,9.1,,0.06977491733176,0.07110322122413
THA-FS,175,FLEET,,,,,,,,Y,,9.2,,0.07214829574937,0.07351742240335
THA-FS,176,FLEET,,,,,,,,Y,,9.3,,0.07452167416697,0.07593162358257
THA-FS,177,FLEET,,,,,,,,Y,,9.4,,0.07689505258458,0.07834582476179
THA-FS,178,FLEET,,,,,,,,Y,,9.5,,0.07926843100219,0.08076002594101
THA-FS,179,FLEET,,,,,,,,Y,,9.6,,0.08164180941979,0.08317422712023
THA-FS,180,FLEET,,,,,,,,Y,,9.7,,0.0840151878374,0.08558842829945
THA-FS,181,FLEET,,,,,,,,Y,,9.8,,0.08638856625501,0.08800262947868
THA-FS,182,FLEET,,,,,,,,Y,,9.9,,0.08876194467261,0.0904168306579
THA-FS,183,FLEET,,,,,,,,Y,,"10, 10.0",,0.09113532309022,0.09283103183712
THA-FS,184,FLEET,,,,,,,,N,,,,0.0296625510638738,0.0302525392045343
THA-FS,185,RETAIL PRIVATE,,,,,,,,N,,,,0.0105475964048648,0.010575347131006
THA-FS,186,RETAIL SMALL BUSINESS,,,,,,,,N,,,,0.0134146616971388,0.0134359775945755
THA-FS,187,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,"1, 1.0",,0.0019517031242827,0.0019531533176742
THA-FS,188,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.1,,0.0020818488958237,0.0020833954772815
THA-FS,189,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.2,,0.0022119946673646,0.0022136376368888
THA-FS,190,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.3,,0.0023421404389055,0.0023438797964961
THA-FS,191,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.4,,0.0024722862104465,0.0024741219561035
THA-FS,192,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.5,,0.0026024319819874,0.0026043641157108
THA-FS,193,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,,Y,,1.6,,0.0027325777535283,0.0027346062753181
