Entity,Order,CustomerType,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,DFS Rating,Tier,Value
THA-FS,188,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.1,,0.0020818488958237
THA-FS,189,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.2,,0.0022119946673646
THA-FS,190,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.3,,0.0023421404389055
THA-FS,191,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.4,,0.0024722862104465
THA-FS,192,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.5,,0.0026024319819874
THA-FS,193,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.6,,0.0027325777535283
THA-FS,194,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.7,,0.0028627235250693
THA-FS,195,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.8,,0.0029928692966102
THA-FS,196,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,1.9,,0.0031230150681511
THA-FS,197,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,"2, 2.0",,0.0032531608396921
THA-FS,198,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.1,,0.0035228305683348
THA-FS,199,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.2,,0.0037925002969775
THA-FS,200,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.3,,0.0040621700256203
THA-FS,201,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.4,,0.004331839754263
THA-FS,202,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.5,,0.0046015094829058
THA-FS,203,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.6,,0.0048711792115485
THA-FS,204,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.7,,0.0051408489401912
THA-FS,205,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.8,,0.005410518668834
THA-FS,206,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,2.9,,0.0056801883974767
THA-FS,207,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,"3, 3.0",,0.0059498581261195
THA-FS,208,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.1,,0.0064150660356467
THA-FS,209,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.2,,0.0068802739451739
THA-FS,210,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.3,,0.0073454818547011
THA-FS,211,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.4,,0.0078106897642283
THA-FS,212,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.5,,0.0082758976737555
THA-FS,213,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.6,,0.0087411055832827
THA-FS,214,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.7,,0.00920631349281
THA-FS,215,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.8,,0.0096715214023372
THA-FS,216,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,3.9,,0.0101367293118644
THA-FS,217,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,"4, 4.0",,0.0106019372213916
THA-FS,218,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.1,,0.0113469554723934
THA-FS,219,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.2,,0.0120919737233952
THA-FS,220,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.3,,0.012836991974397
THA-FS,221,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.4,,0.0135820102253988
THA-FS,222,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.5,,0.0143270284764006
THA-FS,223,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.6,,0.015072046727402401
THA-FS,224,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.7,,0.0158170649784042
THA-FS,225,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.8,,0.016562083229406
THA-FS,226,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,4.9,,0.0173071014804078
THA-FS,227,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,"5, 5.0",,0.0180521197314096
THA-FS,228,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.1,,0.0194886602393266
THA-FS,229,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.2,,0.0209252007472436
THA-FS,230,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.3,,0.0223617412551606
THA-FS,231,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.4,,0.0237982817630776
THA-FS,232,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.5,,0.0252348222709946
THA-FS,233,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.6,,0.0266713627789116
THA-FS,234,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.7,,0.0281079032868286
THA-FS,235,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.8,,0.0295444437947456
THA-FS,236,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,5.9,,0.0309809843026626
THA-FS,237,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,"6, 6.0",,0.0324175248105796
THA-FS,238,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.1,,0.0297149553216839
THA-FS,239,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.2,,0.0270123858327882
THA-FS,240,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.3,,0.0243098163438926
THA-FS,241,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.4,,0.0216072468549969
THA-FS,242,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.5,,0.0189046773661012
THA-FS,243,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.6,,0.0162021078772055
THA-FS,244,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.7,,0.0134995383883099
THA-FS,245,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.8,,0.0107969688994142
THA-FS,246,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,6.9,,0.0080943994105185
THA-FS,247,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,"7, 7.0",,0.0053918299216228
THA-FS,248,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.1,,0.0128742613172501
THA-FS,249,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.2,,0.0203566927128775
THA-FS,250,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.3,,0.0278391241085048
THA-FS,251,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.4,,0.0353215555041321
THA-FS,252,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.5,,0.0428039868997594
THA-FS,253,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.6,,0.0502864182953867
THA-FS,254,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.7,,0.057768849691014
THA-FS,255,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.8,,0.06525128108664
THA-FS,256,"RETAIL SMALL BUSINESS,RETAIL PRIVATE",,,,,,,Y,,7.9,,0.07273371248226
